profession,rarity,group,depends on,gender specific,definition,percent,aka,work location,work location name
farmer,1,agriculture,,,,10%,crofter,own residence,farm
fisherman,1,agriculture,,,,10%,,outside of town,"river, sea, ocean"
butcher,2,food service,,,,2%,,shop/own residence,butcher shop
cook,2,food service,,,,2%,,shop/own residence,resturant
groom,2,service,,,,2%,"coistsell, stablehand, stableboy",shop/own residence,stable
guard,2,government,,,,2%,,around town,town
hunter,2,agriculture,,,,2%,huntsman,outside of town,forest
maid,2,service,noble,female,,2%,maidservant,other residence,manor
merchant,2,commerce,,,,2%,"chapman, peddler, storekeeper, shopkeeper",shop/own residence,store
miner,2,mining,,,,2%,,outside of town,mine
serf,2,agriculture,noble,,,2%,peasant,own residence,farm
servant,2,service,,,,2%,bodyservant,other residence,manor
shepherd,2,agriculture,,,,2%,"cowherd, herder, GRAZIER",outside of town,pasture
weaver,2,craftsman,,,,2%,,shop/own residence,weaver's shop
woodcutter,2,agriculture,,,,2%,,outside of town,forest
apothecary,3,commerce,,,,0.5%,,shop/own residence,apothecary
archer,3,military,,,,0.5%,,outside of town,
baker,3,food service,farmer,,,0.5%,,shop/own residence,bakery
bandit,3,crime,,,,0.5%,footpad,outside of town,
banker,3,commerce,merchant,,,0.5%,,shop/own residence,bank
barber,3,service,,,,0.5%,,shop/own residence,barber shop
bartender,3,food service,innkeeper,,,0.5%,,shop/own residence,bar
basketmaker,3,craftsman,,,,0.5%,basketweaver,shop/own residence,basketmaker's shop
beekeeper,3,agriculture,,,,0.5%,,own residence,beekeeper's house
blacksmith,3,craftsman,,,,0.5%,,shop/own residence,blacksmith
bodyguard,3,service,,,,0.5%,,other residence,manor
bricklayer,3,construction,laborer,,,0.5%,,around town,
builder,3,construction,laborer,,,0.5%,,shop/own residence,builder's office
camp cook,3,military,,,,0.5%,,outside of town,
carpenter,3,construction,,,,0.5%,,shop/own residence,woodshop
carter,3,transportation,,,,0.5%,"carman, teamster",outside of town,
fishmonger,3,commerce,,,,0.5%,,shop/own residence,fishmonger
fletcher,3,craftsman,,,maker of arrows,0.5%,arrowmaker,shop/own residence,fletcher's shop
forester,3,agriculture,,,,0.5%,,outside of town,forest
furrier,3,craftsman,skinner,,prepares and sells furs,0.5%,,shop/own residence,furrier
gardener,3,service,,,,0.5%,,around town,garden
glassblower,3,craftsman,,,,0.5%,,shop/own residence,glassblower's shop
goatherd,3,agriculture,,,,0.5%,,outside of town,pasture
gravedigger,3,service,,,digs graves,0.5%,,around town,cemetery
grocer,3,commerce,,,,0.5%,,shop/own residence,grocery
guide,3,service,,,,0.5%,,outside of town,
innkeeper,3,commerce,,,,0.5%,,shop/own residence,inn
laborer,3,construction,,,,0.5%,,around town,construction site
laundress,3,service,,,,0.5%,,own residence,laundry
leatherworker,3,craftsman,,,,0.5%,,shop/own residence,leatherworker's shop
linener,3,craftsman,,,,0.5%,,shop/own residence,linener's shop
mason,3,construction,,,,0.5%,stonemason,around town,
messenger,3,service,,,,0.5%,"currier, herald",outside of town,
midwife,3,service,,female,,0.5%,"accoucheur, accoucheus",around town,
militia,3,military,,,,0.5%,soldier,outside of town,various
milkmaid,3,agriculture,farmer,female,,0.5%,dairymaid,shop/own residence,dairy
miller,3,food service,,,operates a mill,0.5%,,shop/own residence,mill
minstrel,3,entertainment,,,,0.5%,,outside of town,
monk,3,religion,,,,0.5%,cathar perfect,own residence,monastary
nun,3,religion,,,,0.5%,,own residence,convent
physician,3,service,,,,0.5%,doctor,shop/own residence,physician's office
pickpocket,3,crime,,,,0.5%,,around town,
pikeman,3,military,,,,0.5%,,outside of town,
plowman,3,agriculture,farmer,,,0.5%,,other residence,farm
potter,3,craftsman,,,,0.5%,,shop/own residence,potter's shop
priest,3,religion,,,,0.5%,chaplain,shop,church
prostitute,3,entertainment,,,,0.5%,"courtesan, harlot",shop/own residence,brothel
quarryman,3,mining,,,worker in a quarry,0.5%,,outside of town,quarry
sailor,3,transportation,,,,0.5%,,outside of town,sailboat
shipwright,3,craftsman,sailor,,,0.5%,,shop,shipyard
shoemaker,3,craftsman,merchant,,,0.5%,"cobbler, cordwainer",shop/own residence,shoemaker's shop
skinner,3,craftsman,hunter,,,0.5%,,shop/own residence,skinner's shop
swineherd,3,agriculture,,,,0.5%,,own residence,pig farm
tailor,3,craftsman,,,,0.5%,seamstress,shop/own residence,tailor shop
tanner,3,craftsman,,,,0.5%,,shop,tannery
tax collector,3,government,,,,0.5%,exchequer,around town,
teamster,3,transportation,,,drives a team of animals,0.5%,,outside of town,
thacker,3,construction,,,thatches roofs,0.5%,,around town,
thief,3,crime,merchant,,,0.5%,cutpurse,around town,
town crier,3,government,,,,0.5%,,around town,
trapper,3,agriculture,,,,0.5%,,outside of town,forest
watchman,3,government,,,,0.5%,,around town,
water carrier,3,service,,,,0.5%,,around town,
waterman,3,commerce,,,,0.5%,,around town,
weaponsmith,3,craftsman,"blacksmith, guard",,,0.5%,,shop/own residence,weaponsmith's shop
woodcarver,3,craftsman,woodcutter,,,0.5%,,shop/own residence,woodcarver's shop
yeoman,3,agriculture,,,,0.5%,freibauer,own residence,farm
abbess,4,religion,nun,,,0.1%,,own residence,convent
abbot,4,religion,monk,,,0.1%,,own residence,monastery
accountant,4,commerce,merchant,,,0.1%,,shop/own residence,accontant's office
alchemist,4,craftsman,,,,0.1%,,shop/own residence,alchemist's lab
alewife,4,craftsman,,,,0.1%,,shop/own residence,brewery
almoner,4,government,,,an official distributor of alms,0.1%,,around town,
anchorite,4,religion,,,a religious recluse,0.1%,,own residence,
archbishop,4,religion,,,,0.1%,primate,shop,church
architect,4,construction,,,,0.1%,,own residence,architect's studio
armorer,4,commerce,armorsmith,,,0.1%,,shop/own residence,armory
armorsmith,4,craftsman,,,,0.1%,,shop/own residence,armorsmith's shop
astrologer,4,religion,,,,0.1%,,own residence,
attendent,4,service,,,,0.1%,,other residence,manor
bagger,4,service,shopkeeper,,a person employed to package things,0.1%,,shop,shop
bailiff,4,government,judge,,,0.1%,,shop,court
bard,4,entertainment,,,,0.1%,,outside of town,
bargeman,4,transportation,,,,0.1%,,outside of town,river
bath attendent,4,service,,,,0.1%,,shop,baths
bawd,4,service,,female,runs a brothel,0.1%,stewsman,shop/own residence,brothel
beer seller,4,commerce,,,,0.1%,,around town,
bishop,4,religion,,,,0.1%,,shop,church
bladesmith,4,craftsman,,,,0.1%,"cutler, knifeman, knifesmith",shop/own residence,bladesmith's shop
bleacher,4,craftsman,,,,0.1%,,shop/own residence,bleacher's shop
boatman,4,transportation,,,,0.1%,canaller,outside of town,river
bowyer,4,craftsman,,,makes bows,0.1%,,shop/own residence,bowyer's shop
brewer,4,craftsman,,,,0.1%,,shop/own residence,brewery
bricker,4,craftsman,bricklayer,,,0.1%,,shop/own residence,bricker's shop
burglar,4,crime,,,,0.1%,,around town,
butler,4,service,,,one in charge of the buttery (where alcohol was kept),0.1%,,own residence,manor
cabinetmaker,4,craftsman,,,,0.1%,,shop/own residence,cabinetmaker's shop
calligrapher,4,artisan,,,,0.1%,,shop/own residence,calligrapher's shop
cantor,4,religion,,,sings liturgical music and leads prayer,0.1%,,shop,church
captain,4,transportation,,,,0.1%,,outside of town,ship
cartwright,4,craftsman,carter,,makes carts,0.1%,,shop/own residence,cartwright's shop
caterer,4,food service,"baker, cook",,,0.1%,,around town,
ceiler,4,construction,,,builds ceilings,0.1%,,around town,
chamberlain,4,service,,,an officer who manages the household of a monarch or noble,0.1%,,other residence,manor
chandler,4,craftsman,butcher,,makes candles,0.1%,,shop/own residence,chandler's shop
charcoalburner,4,service,,,,0.1%,,shop/own residence,charcoalburner's shop
charlatan,4,crime,,,a person falsely claiming to have a special knowledge or skill; a fraud,0.1%,,around town,
cheesemaker,4,food service,,,,0.1%,,shop/own residence,cheesemaker's shop
chimney sweep,4,service,,,,0.1%,,around town,
clerk,4,service,,,,0.1%,"clark, scribe, scrivener",shop/own residence,clerk's shop
clothier,4,craftsman,,,makes/sells clothes,0.1%,draper,shop/own residence,clothier's shop
clouter,4,craftsman,,,nail maker or shoe maker,0.1%,,shop/own residence,clouter's shop
collier,4,mining,,,mines coal,0.1%,,outside of town,coalmine
conman,4,crime,,,,0.1%,,around town,
cooper,4,craftsman,,,makes barrels,0.1%,,shop/own residence,cooper's shop
costermonger,4,commerce,,,"One who sells fruit, vegetables, fish, or other goods from a cart, barrow, or stand in the streets.",0.1%,,around town,"cart, barrow, stand"
crossbowman,4,military,,,,0.1%,,outside of town,
curate,4,religion,,,"a member of the clergy engaged as assistant to a vicar, rector, or parish priest",0.1%,,shop,church
diver,4,agriculture,,,,0.1%,,outside of town,"sea, ocean"
drayman,4,transportation,,,"Drove a long strong cart without fixed sides for carrying heavy loads, such as beer kegs",0.1%,,outside of town,
dresser,4,service,,,"Assistant to a noble person, preparing clothes etc",0.1%,,own residence,manor
drover,4,agriculture,,,"Drove cattle, sheep, etc. to market; a dealer in cattle",0.1%,,outside of town,pasture
drummer,4,entertainment,,,,0.1%,,around town,
dung carter,4,service,,,,0.1%,,around town,
dyer,4,craftsman,,,,0.1%,,shop/own residence,dye house
eggler,4,agriculture,,,sells eggs,0.1%,,own residence,henhouse
famulus,4,service,,,"an assistant or servant, esp. one working for a magician or scholar",0.1%,,own residence,manor
farrier,4,craftsman,,,"a specialist in equine hoof care, including the trimming and balancing of horses' hooves and the placing of shoes on their hooves",0.1%,horseleech,shop/own residence,farrier's shop
fence,4,crime,,,,0.1%,,shop/own residence,fence's shop
ferryman,4,transportation,,,,0.1%,,outside of town,river
fiddler,4,entertainment,,,,0.1%,,around town,
fool,4,service,,,,0.1%,,own residence,manor
fortune teller,4,entertainment,,,,0.1%,,own residence,
foundryman,4,craftsman,,,,0.1%,founder,shop/own residence,foundry
fowler,4,agriculture,,,a hunter of birds,0.1%,,outside of town,forest
friar,4,religion,,,,0.1%,,own residence,monastery
fueller,4,commerce,,,a wood or charcoal seller,0.1%,,shop/own residence,fueller's shop
fuller,4,commerce,tailor,,sells cloth,0.1%,,shop/own residence,fuller's shop
furniture maker,4,craftsman,,,,0.1%,,shop/own residence,furniture maker's shop
gamekeeper,4,agriculture,,,,0.1%,,outside of town,forest
glass seller,4,commerce,glassblower,,,0.1%,,shop/own residence,glass shop
greengrocer,4,commerce,,,"sells vegetables, etc",0.1%,,shop/own residence,grocery
guild master,4,commerce,,,,0.1%,,shop,guildhall
gymnast,4,entertainment,dancer,,,0.1%,,around town,
halberdier,4,military,,,,0.1%,,outside of town,
hawker,4,commerce,,,"a person who travels around selling goods, typically advertising them by shouting",0.1%,,around town,
hay merchant,4,commerce,,,,0.1%,,shop/own residence,hay store
herbalist,4,service,,,,0.1%,,shop/own residence,herbalist's shop
horse trainer,4,service,,,,0.1%,,shop/own residence,horse trainer's shop
hurdle maker,4,construction,,,makes hurdles out of wattle,0.1%,wattler,around town,
joiner,4,construction,,,"a person who constructs the wooden components of a building, such as stairs, doors, and door and window frames",0.1%,,shop/own residence,joinery
judge,4,government,,,,0.1%,,shop,court
lancier,4,military,,,,0.1%,,outside of town,
lawyer,4,government,judge,,,0.1%,solicitor,shop,court
legerdemainist,4,entertainment,,,A person who practices or performs sleight of hand,0.1%,,outside of town,
linenspinner,4,craftsman,linener,,,0.1%,,shop/own residence,linenspinner's shop
